,uid,test-accuracy,test-all-time,test-loss,test-per-time,train-accuracy,train-all-time,train-loss,train-per-time,valid-accuracy,valid-all-time,valid-loss,valid-per-time
0,0,16.999999966939292,3.6705301012311655,3.4746757825215657,0.3058775084359305,17.655240607164217,525.8111078138353,3.4791599340256534,43.81759231781961,18.466666661580405,3.6705301012311655,3.4269676373799642,0.3058775084359305
1,1,33.80000003051758,5.406046526772638,2.6110233033498127,0.4505038772310532,35.40606460319826,789.9230320072176,2.5477743973477387,65.8269193339348,35.433333353678385,5.406046526772638,2.5804232947031656,0.4505038772310532
2,2,17.866666646321615,5.7229156494140625,3.465753948847453,0.4769096374511719,17.230718524306717,825.434048698425,3.4886459009727524,68.78617072486875,18.46666667175293,5.7229156494140625,3.456148557027181,0.4769096374511719
3,3,23.266666651407878,3.5086461884634823,3.2121661790211995,0.2923871823719569,22.54911008720423,303.2964753284454,3.2332263656156033,25.274706277370452,23.83333327738444,3.5086461884634823,3.1766860319773356,0.2923871823719569
4,4,19.366666633605956,3.4749506541660846,3.3336851825714113,0.28957922118050705,19.606460118705535,472.1607206211091,3.3698325181306,39.34672671842576,21.63333327738444,3.4749506541660846,3.300268803278605,0.28957922118050705
5,5,25.633333333333333,4.6709350449698315,3.049129145304362,0.38924458708081927,26.044825313470046,725.4243029022218,3.0018478530413555,60.45202524185182,26.500000015258788,4.6709350449698315,3.026330078125,0.38924458708081927
6,6,27.73333332824707,5.663297877992901,2.925393841425578,0.4719414898327417,28.800263680022407,821.7561220006942,2.869598118594075,68.47967683339118,29.133333241780598,5.663297877992901,2.8834058380126955,0.4719414898327417
7,7,29.599999923706054,4.6301443372453965,2.829579900741577,0.3858453614371164,29.835860251802007,633.91888795948,2.8313507346000497,52.82657399662333,30.299999888102214,4.6301443372453965,2.834441525141398,0.3858453614371164
8,8,29.666666631062824,4.134553834370204,2.8404121252695718,0.3445461528641837,29.79564930975555,597.4691282730104,2.821578695439318,49.78909402275087,30.833333272298177,4.134553834370204,2.815364423751831,0.3445461528641837
9,9,22.833333272298177,3.8632252693176263,3.222484287261963,0.3219354391098022,22.775873435717628,476.206677974701,3.2161623544007756,39.68388983122508,23.999999928792317,3.8632252693176263,3.173109532674154,0.3219354391098022
