,uid,train_loss,train_accuracy,test_loss,test_accuracy
0,0,3.7631866459101535,12.828609097128096,4.128963695526123,9.083333330790202
1,1,3.0150670940874433,25.94858272972434,3.1259959602355956,24.566666656494142
2,2,3.7500277073004566,12.86552406079689,4.0226306660970055,10.550000005086263
3,3,3.4659774702634163,18.02702702672527,3.5834322045644122,15.533333323160807
4,4,3.6659876525378494,14.59129861548769,4.363002113342285,8.249999997456868
5,5,3.326935527376541,19.95121951274834,3.5790626010894777,16.949999992370607
6,6,3.2548837246137303,21.40474620987572,3.542136973698934,18.166666664123536
7,7,3.18748325841397,22.71654581466001,3.2620823713938396,22.766666651407878
8,8,3.180135861612419,22.64271588707096,3.3757785402933758,20.29999997965495
9,9,3.4720352523957105,17.95187870898212,3.6103260237375894,16.716666669209797
10,10,4.783785404099707,0.818721160241154,4.792950197855632,0.8333333331743876
11,11,3.735345026486472,11.819380356468649,4.3551495628356935,7.433333332061768
12,12,4.783737968238625,0.8220171390903098,4.793136290232341,0.8333333339691162
13,13,3.5579031180769656,15.275543836946934,3.7589713325500487,12.866666669209797
14,14,3.5186682685834447,16.05932762010206,3.670339283625285,14.65
15,15,4.200024568096304,7.133157548294621,5.73158534749349,1.933333333969116
16,16,3.0504428379207202,25.267633487145684,3.1858206926981607,23.75
17,17,3.4045687199770502,18.625576797113187,3.6096244831085205,16.6166666692098
18,18,3.3815506100073094,18.97956493189088,3.590724241256714,16.133333318074545
19,19,3.569293232146422,16.00725115364291,3.8071214701334637,13.883333330790203
20,20,3.380399614615745,19.189189188988017,3.502906225840251,18.033333333333335
21,21,3.3483294968865933,19.46275543871724,3.554315958658854,17.249999992370604
22,22,3.4649154468453394,17.37771918274811,3.7317050914764405,14.51666665649414
23,23,3.4598276216573596,17.6295319708948,3.6555192171732585,15.83333332824707
24,24,3.7532550084410174,13.208965063227112,4.055233884175618,9.5666666653951
25,25,3.4667724013407133,18.104152933773275,3.6458057810465494,15.966666661580403
26,26,3.4540019235189763,17.41397495081178,3.965613986968994,12.69999999745687
27,27,3.5217557657652963,16.20698747560706,3.7831487108866373,13.116666661580403
28,28,3.7288950901873896,13.429136453778161,4.576151587168376,7.450000002543131
29,29,3.5799414419954987,15.78378378393466,4.123941221872966,11.883333338419597
30,30,3.495920126065661,16.55702043532068,3.796682935078939,13.8166666653951
31,31,3.389157167225978,18.895847067182284,3.727248519897461,14.216666659037273
32,32,3.1239755324525276,23.988793672726352,3.3689783954620363,21.283333323160807
33,33,3.3914466355046553,18.575477916639574,3.8285455665588377,13.499999994913736
34,34,3.5612046847598053,15.328279499237523,4.03162910079956,9.766666661580404
35,35,3.486280671272454,16.717205010038814,3.6513749809265135,15.016666659037272
36,36,3.4473933239900996,17.689518787431812,3.807091967900594,13.649999997456868
37,37,3.3956657400426695,19.090969018351505,3.510521043141683,17.983333333333334
38,38,3.6780333385329222,13.111404087617355,4.1147629877726235,8.666666667938232
39,39,3.3638672915994925,19.541858932555467,3.912708422342936,14.15
40,40,4.024701283064498,9.553065260784674,4.255401381174723,7.183333334604899
41,41,3.5876545087616933,15.361898484201753,3.8427305819193522,12.949999998728435
42,42,2.9809326746217026,26.68556361314727,3.1408814125061033,23.54999997965495
43,43,3.6448251092441786,13.624258404444454,4.152587253570557,9.699999998728435
44,44,3.9871608317079086,9.943968358728236,4.354132029215495,6.849999997456869
45,45,3.3821512133083456,19.312458800615726,3.7603798764546714,14.866666666666667
46,46,3.3829294727566843,19.10810810835957,3.579279359817505,16.46666665649414
47,47,3.3920026716057534,18.901120633733218,3.81225065612793,14.01666665649414
48,48,3.7262006350575736,13.560975610460195,4.529422687530517,7.999999994913737
49,49,3.332505047344894,19.88529993443247,3.484131759007772,18.533333333333335
50,50,3.2872229268571305,20.344100198110784,3.4463671468098958,17.583333328247072
51,51,3.4545017305297447,17.914304548501182,3.551142873764038,17.450000005086263
