,uid,train_loss,train_accuracy,test_loss,test_accuracy
0,0,2.8204767545318603,27.92,3.6724912239074707,17.87
1,1,1.5928895028686523,54.996,1.995716226005554,47.37
2,2,2.8385651274108885,27.228,7.434140768432617,7.03
3,3,2.197353803253174,41.154,2.986896706008911,29.58
4,4,2.742902381439209,29.842,3.5710499725341798,18.33
5,5,2.157654582977295,41.708,2.870697785949707,30.79
6,6,1.86012725440979,48.632,3.4707330924987794,26.52
7,7,1.7868692238998414,50.286,2.395707685852051,39.01
8,8,1.8111784226226806,49.692,2.0432426242828368,45.27
9,9,2.2079112685394287,41.286,3.2573489799499513,28.15
10,10,4.606686940917969,0.882,4.605293461608887,1.0
11,11,2.54230668838501,33.216,4.535223471832276,13.17
12,12,4.606586177062988,0.902,4.60537329788208,1.0
13,13,2.2826323532104493,38.632,3.546362420272827,23.2
14,14,2.086809308395386,43.36,2.5183532188415527,36.25
15,15,3.995760188293457,8.324,3.9777415359497073,8.78
16,16,1.6027407483673095,54.842,2.0651472440719605,45.24
17,17,2.2323075822448732,39.794,3.024699251937866,27.19
18,18,2.1690876720428465,41.326,2.794983650970459,32.18
19,19,2.365131077423096,37.166,3.6558920440673828,21.62
20,20,1.987101401824951,45.956,2.6656254203796386,35.21
21,21,1.994506655807495,45.162,2.807090284347534,31.05
22,22,2.409808355560303,36.112,3.1847758224487306,23.95
23,23,2.4089864360046387,36.272,3.458465871810913,23.82
24,24,2.869416965789795,27.16,3.85798480758667,14.91
25,25,2.221695132446289,41.054,2.6100236854553223,34.83
26,26,2.2394166726684572,39.502,3.253540489959717,25.86
27,27,2.3695647234344484,36.806,3.8860528312683105,18.2
28,28,2.921270223236084,26.208,3.3047950424194337,20.52
29,29,2.335405466461182,38.02,2.682579811859131,33.45
30,30,2.0299226457977295,44.64,2.4420313247680663,36.87
31,31,2.2801789888000488,39.096,3.093623085784912,26.6
32,32,1.685202342147827,52.876,2.1114157775878906,43.48
33,33,2.0297743478012085,44.368,2.8201833305358885,31.15
34,34,2.0751101737976074,43.402,3.300887241744995,26.73
35,35,2.200966114273071,40.69,2.8000653678894043,30.64
36,36,2.243752700958252,39.586,3.5796463119506834,23.89
37,37,2.0442363883972168,44.552,4.684425638961792,21.34
38,38,2.278140074310303,38.572,3.0208055057525636,28.53
39,39,2.0300401597595217,44.866,2.583964742279053,34.41
40,40,2.934918376464844,26.99,4.640105916595459,13.33
41,41,2.40221821975708,35.882,3.539724773788452,21.17
42,42,1.5431736590576173,56.326,2.329775646209717,42.79
43,43,2.161424012527466,41.368,2.894913516998291,29.3
44,44,3.1284980043792725,22.784,3.7244291763305664,17.32
45,45,2.0280340730285644,44.74,2.7657186492919923,33.24
46,46,2.290245973892212,38.904,2.847532424545288,30.74
47,47,2.1680272930145263,41.328,3.745511853027344,21.24
48,48,2.792820393600464,29.044,4.3170731719970705,15.03
49,49,2.0150239916992185,45.036,3.8066681182861326,21.87
50,50,1.8669686100006104,48.292,2.6805658184051513,34.85
51,51,2.1330124628448486,42.362,2.830249604797363,31.05
52,52,1.6619712364578247,53.45,2.2327714046478273,42.21
53,53,3.9961624961853026,8.248,4.422027410125732,6.72
54,54,2.186737776527405,40.958,3.2237584075927734,27.46
55,55,2.197374136047363,41.582,2.659614860343933,34.23
56,56,1.6621545914459228,53.212,2.9643537269592284,33.62
57,57,2.857348978729248,28.354,3.2417198963165283,22.7
58,58,3.9795144731140137,8.58,3.974669608306885,8.98
59,59,2.574961979675293,32.66,2.924447334289551,26.1
60,60,2.4648741886901857,35.022,3.41858219871521,22.43
61,61,2.3500792110443114,37.666,3.3100994789123535,24.1
62,62,1.9568456951904296,46.202,2.626433373260498,34.07
63,63,2.1132570558166504,42.826,3.2672238140106202,25.07
64,64,2.130965916595459,42.032,3.7014049346923827,21.42
65,65,1.9736136994934081,45.722,2.4775058319091796,37.24
66,66,2.844210710144043,28.664,3.657304151535034,18.2
67,67,2.1055282011413574,43.304,2.5037462566375734,35.69
68,68,2.136337056350708,41.97,3.173854038619995,25.61
69,69,1.5539595092391967,55.828,2.234266794204712,43.44
70,70,2.160072998199463,41.976,3.1646624725341796,27.29
71,71,2.3011329544067385,38.512,2.96049718208313,29.44
72,72,2.1784344897460937,41.814,2.5837299495697024,33.34
73,73,2.251784825210571,39.05,3.0465606983184816,28.21
74,74,4.6065351071167,0.872,4.605420513916016,1.0
75,75,3.3511672898864746,19.052,5.162709800720215,7.67
76,76,2.8385165656280518,27.822,6.973754305267334,7.7
77,77,1.9607268796157837,45.936,2.7514281845092774,32.68
78,78,2.0316200485229494,44.458,3.4378149925231933,23.9
79,79,1.7664554570770263,50.868,2.173907077407837,42.42
80,80,2.0229850593566896,44.848,2.9341966590881348,30.11
81,81,1.4835948734283446,57.926,2.2256678604125977,44.79
82,82,2.550592270050049,33.372,3.41903684387207,22.41
83,83,2.8493427255249024,27.426,3.5134919204711914,18.4
84,84,2.1422639366912843,42.028,3.5790625301361083,25.22
85,85,1.9885889624023438,45.27,2.748866167831421,31.98
86,86,1.7440693849945068,51.294,2.23450140171051,41.4
87,87,3.186341600189209,21.378,3.8296824279785158,12.45
88,88,2.2920314958190917,38.708,4.133334101867676,15.44
89,89,1.787448018875122,50.224,2.2812129890441892,41.29
90,90,2.204127296447754,40.566,3.2549115440368652,23.79
91,91,2.4171965995025633,35.942,3.077606566238403,26.47
92,92,2.1125396126556395,42.442,3.819945962524414,23.9
93,93,2.118202704849243,42.49,2.48724305267334,36.63
94,94,2.761409111328125,29.338,3.729457430267334,19.32
95,95,3.1694745929718016,22.164,3.528778667831421,16.62
96,96,2.387864697494507,36.372,4.220082993316651,17.12
97,97,2.4293637589263914,35.486,3.31800972328186,21.51
98,98,2.3984774700927733,36.524,4.197009513092041,17.31
99,99,1.5873954187393189,55.048,2.195657503128052,43.32
100,100,2.0588810443496706,43.536,5.052029203033447,16.81
101,101,2.65500885269165,31.57,4.057404029083252,17.89
102,102,1.9684826422119142,45.956,2.521191703414917,36.97
103,103,2.1268710331726073,42.246,2.701160570526123,33.52
104,104,4.60665414276123,0.844,4.60538334274292,1.0
105,105,4.606540869293213,0.91,4.605338121032715,1.0
106,106,2.8856857832336424,27.926,3.5316723751068113,19.65
107,107,2.7706582291412354,28.534,3.7321549751281737,16.48
108,108,4.606652620239258,0.846,4.605383360290527,1.0
109,109,1.9089748361587524,47.204,2.577773487854004,33.76
110,110,1.9986295959854126,45.338,2.704677865600586,35.44
111,111,1.5686579989624023,55.534,2.1548131607055665,44.82
